fpr_feat,ev_feat,fpr_clust,ev_clust,N,K,target,binary,min_cluster_size
0.59,0.59,0.18,0.05116666666666667,50,1,y,True,5
0.79,0.79,0.09,0.04833333333333333,50,1,y,True,10
0.83,0.83,0.39,0.11366666666666667,50,1,y_pred,True,5
0.92,0.92,0.23,0.1408333333333333,50,1,y_pred,True,10
0.63,0.63,0.18,0.06733333333333333,50,1,fp,True,5
0.84,0.84,0.17,0.10833333333333334,50,1,fp,True,10
0.56,0.56,0.22,0.07216666666666667,50,1,fn,True,5
0.83,0.83,0.17,0.12083333333333332,50,1,fn,True,10
0.65,0.65,0.23,0.06633333333333334,50,1,err,True,5
0.81,0.81,0.13,0.06916666666666665,50,1,err,True,10
1.0,0.486,0.16,0.05883333333333333,50,5,y,True,5
0.94,0.524,0.11,0.05166666666666666,50,5,y,True,10
0.99,0.49800000000000005,0.61,0.24633333333333332,50,5,y_pred,True,5
0.99,0.572,0.51,0.2825,50,5,y_pred,True,10
0.99,0.4620000000000001,0.06,0.0215,50,5,fp,True,5
1.0,0.5740000000000001,0.11,0.06916666666666665,50,5,fp,True,10
0.97,0.444,0.15,0.05383333333333333,50,5,fn,True,5
1.0,0.5479999999999999,0.09,0.04333333333333333,50,5,fn,True,10
0.99,0.44,0.16,0.058499999999999996,50,5,err,True,5
0.97,0.528,0.23,0.13499999999999998,50,5,err,True,10
0.98,0.352,0.17,0.05133333333333333,50,10,y,True,5
0.91,0.38699999999999996,0.07,0.0475,50,10,y,True,10
0.99,0.357,0.32,0.12183333333333334,50,10,y_pred,True,5
0.94,0.3719999999999999,0.3,0.1675,50,10,y_pred,True,10
0.99,0.315,0.05,0.016666666666666666,50,10,fp,True,5
0.93,0.37499999999999994,0.02,0.013333333333333332,50,10,fp,True,10
0.98,0.33299999999999996,0.06,0.02283333333333333,50,10,fn,True,5
0.94,0.37800000000000006,0.01,0.003333333333333333,50,10,fn,True,10
1.0,0.359,0.14,0.04766666666666666,50,10,err,True,5
0.93,0.38599999999999995,0.15,0.07166666666666666,50,10,err,True,10
0.95,0.1434,0.12,0.04583333333333333,50,50,y,True,5
0.82,0.1442,0.07,0.05,50,50,y,True,10
0.92,0.1382,0.2,0.06916666666666665,50,50,y_pred,True,5
0.92,0.1636,0.18,0.09666666666666664,50,50,y_pred,True,10
0.96,0.13199999999999998,0.03,0.0075,50,50,fp,True,5
0.83,0.147,0.02,0.0125,50,50,fp,True,10
0.97,0.1386,0.06,0.0165,50,50,fn,True,5
0.83,0.1444,0.04,0.013333333333333332,50,50,fn,True,10
0.96,0.1414,0.13,0.055,50,50,err,True,5
0.81,0.1442,0.05,0.03166666666666666,50,50,err,True,10
0.93,0.1002,0.11,0.046,50,100,y,True,5
0.82,0.0917,0.09,0.034166666666666665,50,100,y,True,10
0.97,0.1027,0.22,0.0705,50,100,y_pred,True,5
0.78,0.09179999999999999,0.13,0.07583333333333334,50,100,y_pred,True,10
0.93,0.09119999999999999,0.04,0.014499999999999999,50,100,fp,True,5
0.8,0.09260000000000002,0.04,0.0125,50,100,fp,True,10
0.96,0.0975,0.08,0.026999999999999996,50,100,fn,True,5
0.81,0.0911,0.06,0.05333333333333333,50,100,fn,True,10
0.96,0.09809999999999999,0.15,0.05083333333333333,50,100,err,True,5
0.82,0.10469999999999999,0.04,0.04,50,100,err,True,10
0.72,0.72,0.25,0.06616666666666667,100,1,y,True,5
0.76,0.76,0.19,0.053,100,1,y,True,10
0.04,0.04,0.0,0.0,100,1,y,True,50
0.87,0.87,0.65,0.215,100,1,y_pred,True,5
0.94,0.94,0.52,0.1913333333333333,100,1,y_pred,True,10
0.02,0.02,0.01,0.01,100,1,y_pred,True,50
0.68,0.68,0.45,0.11900000000000001,100,1,fp,True,5
0.82,0.82,0.41,0.15233333333333335,100,1,fp,True,10
0.07,0.07,0.01,0.01,100,1,fp,True,50
0.69,0.69,0.46,0.12316666666666666,100,1,fn,True,5
0.86,0.86,0.5,0.17600000000000002,100,1,fn,True,10
0.02,0.02,0.0,0.0,100,1,fn,True,50
0.64,0.64,0.31,0.07916666666666666,100,1,err,True,5
0.69,0.69,0.22,0.06233333333333333,100,1,err,True,10
0.07,0.07,0.0,0.0,100,1,err,True,50
1.0,0.528,0.2,0.04466666666666667,100,5,y,True,5
1.0,0.574,0.23,0.08233333333333334,100,5,y,True,10
0.05,0.044000000000000004,0.01,0.01,100,5,y,True,50
0.99,0.592,0.8,0.3335000000000001,100,5,y_pred,True,5
1.0,0.598,0.82,0.44833333333333336,100,5,y_pred,True,10
0.05,0.032,0.02,0.02,100,5,y_pred,True,50
0.97,0.43599999999999994,0.27,0.057999999999999996,100,5,fp,True,5
1.0,0.596,0.36,0.10683333333333332,100,5,fp,True,10
0.02,0.01,0.0,0.0,100,5,fp,True,50
1.0,0.5020000000000001,0.21,0.06416666666666666,100,5,fn,True,5
1.0,0.606,0.35,0.12399999999999999,100,5,fn,True,10
0.06,0.042,0.01,0.01,100,5,fn,True,50
1.0,0.5,0.19,0.04883333333333334,100,5,err,True,5
1.0,0.578,0.25,0.07633333333333334,100,5,err,True,10
0.03,0.02,0.0,0.0,100,5,err,True,50
0.99,0.417,0.16,0.03233333333333333,100,10,y,True,5
1.0,0.45199999999999996,0.15,0.04633333333333334,100,10,y,True,10
0.04,0.024,0.0,0.0,100,10,y,True,50
1.0,0.442,0.59,0.247,100,10,y_pred,True,5
1.0,0.493,0.71,0.33349999999999996,100,10,y_pred,True,10
0.02,0.009000000000000001,0.01,0.01,100,10,y_pred,True,50
1.0,0.357,0.15,0.04133333333333334,100,10,fp,True,5
1.0,0.462,0.15,0.05199999999999999,100,10,fp,True,10
0.03,0.019,0.01,0.01,100,10,fp,True,50
0.99,0.353,0.14,0.02883333333333333,100,10,fn,True,5
1.0,0.4589999999999999,0.16,0.05916666666666666,100,10,fn,True,10
0.01,0.004,0.0,0.0,100,10,fn,True,50
0.99,0.4129999999999999,0.19,0.04166666666666666,100,10,err,True,5
1.0,0.47100000000000003,0.14,0.039,100,10,err,True,10
0.01,0.006999999999999999,0.0,0.0,100,10,err,True,50
1.0,0.1892,0.18,0.04683333333333334,100,50,y,True,5
0.97,0.20800000000000002,0.15,0.042333333333333334,100,50,y,True,10
0.02,0.005600000000000001,0.0,0.0,100,50,y,True,50
1.0,0.18900000000000003,0.29,0.08383333333333333,100,50,y_pred,True,5
0.95,0.21720000000000003,0.2,0.0725,100,50,y_pred,True,10
0.02,0.006,0.01,0.01,100,50,y_pred,True,50
1.0,0.17120000000000002,0.05,0.0105,100,50,fp,True,5
0.95,0.20379999999999998,0.08,0.022333333333333334,100,50,fp,True,10
0.01,0.0038,0.0,0.0,100,50,fp,True,50
0.98,0.1696,0.05,0.018166666666666668,100,50,fn,True,5
0.96,0.2144,0.14,0.040999999999999995,100,50,fn,True,10
0.02,0.006999999999999999,0.01,0.01,100,50,fn,True,50
0.97,0.17759999999999998,0.19,0.05316666666666667,100,50,err,True,5
0.99,0.2144,0.22,0.08166666666666667,100,50,err,True,10
0.03,0.0074,0.0,0.0,100,50,err,True,50
1.0,0.1304,0.2,0.058833333333333335,100,100,y,True,5
0.94,0.13570000000000002,0.15,0.04816666666666666,100,100,y,True,10
0.04,0.0077,0.01,0.01,100,100,y,True,50
0.99,0.13109999999999997,0.3,0.07433333333333332,100,100,y_pred,True,5
0.93,0.1456,0.19,0.07283333333333333,100,100,y_pred,True,10
0.02,0.0039000000000000003,0.01,0.01,100,100,y_pred,True,50
0.99,0.1183,0.08,0.016166666666666666,100,100,fp,True,5
1.0,0.1389,0.15,0.04,100,100,fp,True,10
0.03,0.0059,0.0,0.0,100,100,fp,True,50
0.98,0.1159,0.1,0.029333333333333336,100,100,fn,True,5
0.98,0.135,0.11,0.03333333333333333,100,100,fn,True,10
0.0,0.0,0.0,0.0,100,100,fn,True,50
0.98,0.13,0.19,0.05166666666666666,100,100,err,True,5
0.96,0.14329999999999998,0.16,0.053000000000000005,100,100,err,True,10
0.0,0.0,0.0,0.0,100,100,err,True,50
0.87,0.87,0.19,0.0405,500,1,y,True,5
0.87,0.87,0.27,0.064,500,1,y,True,10
0.94,0.94,0.22,0.06433333333333334,500,1,y,True,50
1.0,1.0,0.09,0.08333333333333331,500,1,y,True,100
0.92,0.92,0.91,0.47800000000000004,500,1,y_pred,True,5
0.94,0.94,0.83,0.41333333333333333,500,1,y_pred,True,10
0.97,0.97,0.63,0.2936666666666667,500,1,y_pred,True,50
1.0,1.0,0.37,0.3075,500,1,y_pred,True,100
0.86,0.86,0.8,0.403,500,1,fp,True,5
0.9,0.9,0.71,0.352,500,1,fp,True,10
0.94,0.94,0.71,0.4286666666666667,500,1,fp,True,50
1.0,1.0,0.48,0.44,500,1,fp,True,100
0.86,0.86,0.71,0.31866666666666665,500,1,fn,True,5
0.9,0.9,0.79,0.40266666666666673,500,1,fn,True,10
0.93,0.93,0.71,0.38983333333333337,500,1,fn,True,50
1.0,1.0,0.41,0.38333333333333336,500,1,fn,True,100
0.9,0.9,0.24,0.05833333333333333,500,1,err,True,5
0.84,0.84,0.26,0.06233333333333333,500,1,err,True,10
0.97,0.97,0.3,0.0915,500,1,err,True,50
1.0,1.0,0.09,0.07666666666666666,500,1,err,True,100
1.0,0.7179999999999999,0.31,0.064,500,5,y,True,5
1.0,0.7659999999999999,0.21,0.04833333333333333,500,5,y,True,10
1.0,0.7659999999999998,0.17,0.055999999999999994,500,5,y,True,50
1.0,0.8279999999999998,0.16,0.05083333333333333,500,5,y,True,100
1.0,0.7159999999999997,1.0,0.6356666666666666,500,5,y_pred,True,5
1.0,0.742,0.98,0.6875000000000001,500,5,y_pred,True,10
1.0,0.7899999999999998,1.0,0.7186666666666668,500,5,y_pred,True,50
1.0,0.834,0.98,0.7383333333333334,500,5,y_pred,True,100
1.0,0.612,0.78,0.2803333333333333,500,5,fp,True,5
1.0,0.636,0.71,0.25366666666666665,500,5,fp,True,10
1.0,0.8039999999999999,0.76,0.4125,500,5,fp,True,50
1.0,0.81,0.88,0.5066666666666666,500,5,fp,True,100
1.0,0.6179999999999999,0.81,0.278,500,5,fn,True,5
1.0,0.654,0.7,0.25566666666666665,500,5,fn,True,10
1.0,0.7759999999999998,0.79,0.3906666666666666,500,5,fn,True,50
1.0,0.828,0.89,0.5491666666666666,500,5,fn,True,100
1.0,0.7279999999999996,0.25,0.05833333333333333,500,5,err,True,5
1.0,0.7079999999999999,0.32,0.08033333333333333,500,5,err,True,10
1.0,0.7719999999999999,0.25,0.06783333333333333,500,5,err,True,50
1.0,0.846,0.27,0.105,500,5,err,True,100
1.0,0.629,0.2,0.04033333333333333,500,10,y,True,5
1.0,0.661,0.23,0.053,500,10,y,True,10
1.0,0.69,0.17,0.04716666666666667,500,10,y,True,50
1.0,0.7120000000000001,0.1,0.03333333333333333,500,10,y,True,100
1.0,0.6489999999999999,0.96,0.508,500,10,y_pred,True,5
1.0,0.636,0.97,0.5368333333333333,500,10,y_pred,True,10
1.0,0.711,0.95,0.5995,500,10,y_pred,True,50
1.0,0.748,0.91,0.6116666666666667,500,10,y_pred,True,100
1.0,0.498,0.59,0.15266666666666667,500,10,fp,True,5
1.0,0.5160000000000001,0.55,0.16533333333333336,500,10,fp,True,10
1.0,0.703,0.67,0.308,500,10,fp,True,50
1.0,0.736,0.69,0.3375,500,10,fp,True,100
1.0,0.504,0.58,0.15933333333333333,500,10,fn,True,5
1.0,0.55,0.56,0.1623333333333333,500,10,fn,True,10
1.0,0.6960000000000001,0.53,0.226,500,10,fn,True,50
1.0,0.7419999999999999,0.62,0.29333333333333333,500,10,fn,True,100
1.0,0.606,0.22,0.052000000000000005,500,10,err,True,5
1.0,0.644,0.28,0.071,500,10,err,True,10
1.0,0.6990000000000001,0.26,0.08466666666666665,500,10,err,True,50
1.0,0.7369999999999999,0.15,0.05916666666666666,500,10,err,True,100
1.0,0.3709999999999999,0.24,0.050499999999999996,500,50,y,True,5
1.0,0.3686,0.25,0.051833333333333335,500,50,y,True,10
1.0,0.4592,0.19,0.05583333333333334,500,50,y,True,50
1.0,0.5104000000000001,0.16,0.06083333333333333,500,50,y,True,100
1.0,0.35739999999999994,0.75,0.257,500,50,y_pred,True,5
1.0,0.381,0.59,0.20766666666666667,500,50,y_pred,True,10
0.99,0.4524,0.74,0.29483333333333334,500,50,y_pred,True,50
1.0,0.518,0.53,0.29,500,50,y_pred,True,100
1.0,0.2644,0.1,0.02333333333333333,500,50,fp,True,5
1.0,0.29300000000000004,0.17,0.034833333333333334,500,50,fp,True,10
1.0,0.45640000000000003,0.13,0.04516666666666667,500,50,fp,True,50
1.0,0.4905999999999999,0.16,0.05583333333333332,500,50,fp,True,100
0.99,0.25739999999999996,0.16,0.032,500,50,fn,True,5
1.0,0.2954,0.19,0.03966666666666667,500,50,fn,True,10
1.0,0.4512000000000001,0.2,0.050499999999999996,500,50,fn,True,50
1.0,0.5132000000000001,0.18,0.07666666666666666,500,50,fn,True,100
1.0,0.3576,0.22,0.04083333333333333,500,50,err,True,5
1.0,0.3648,0.2,0.04333333333333334,500,50,err,True,10
1.0,0.4746000000000001,0.22,0.06166666666666666,500,50,err,True,50
1.0,0.5189999999999999,0.17,0.06583333333333333,500,50,err,True,100
1.0,0.2413,0.27,0.059666666666666666,500,100,y,True,5
1.0,0.2674,0.25,0.0575,500,100,y,True,10
0.99,0.35159999999999997,0.16,0.07200000000000001,500,100,y,True,50
1.0,0.40880000000000005,0.1,0.04833333333333333,500,100,y,True,100
